time,PT-04C,PT-04B,PT-04A,DPT-07
17521.0,22.3,22.6,22.6,23.8
17551.0,22.3,22.6,22.6,23.7
17581.0,22.3,22.6,22.6,23.5
17611.0,22.3,22.6,22.6,23.5
17641.0,22.3,22.6,22.6,23.7
17671.0,22.3,22.6,22.6,23.8
17701.0,22.3,22.6,22.6,23.9
17731.0,22.3,22.6,22.6,24.4
17761.0,22.3,22.6,22.6,24.7
17791.0,22.3,22.6,22.6,24.7
17821.0,22.3,22.6,22.6,24.5
17851.0,22.3,22.6,22.6,24.4
17881.0,22.3,22.6,22.6,24.1
17911.0,22.3,22.6,22.6,23.9
17941.0,22.3,22.6,22.6,23.9
17971.0,22.3,22.6,22.6,23.7
18001.0,22.3,22.6,22.6,23.7
18031.0,22.3,22.6,22.6,23.7
18061.0,22.3,22.6,22.6,23.6
18091.0,22.3,22.6,22.6,23.5
18121.0,22.3,22.6,22.6,23.4
18151.0,22.3,22.6,22.6,23.5
18181.0,22.3,22.6,22.6,23.8
18211.0,22.3,22.6,22.6,24.2
18241.0,22.3,22.6,22.6,24.6
18271.0,22.4,22.6,22.7,24.4
18301.0,22.4,22.7,22.7,24.3
18331.0,22.4,22.7,22.7,24.3
18361.0,22.5,22.9,22.8,24.2
18391.0,22.5,22.9,22.8,24.2
18421.0,22.5,22.9,22.8,24.2
18451.0,22.5,22.9,22.8,24.2
18481.0,22.5,22.9,22.8,24.1
18511.0,22.5,22.9,22.8,24.0
18541.0,22.5,22.9,22.8,24.0
18571.0,22.5,22.9,22.8,24.0
18601.0,22.5,22.9,22.8,23.8
18631.0,22.5,22.9,22.8,23.6
18661.0,22.5,22.9,22.8,23.8
18691.0,22.5,22.9,22.8,23.8
18721.0,22.5,22.9,22.8,23.8
18751.0,22.5,22.8,22.7,23.8
18781.0,22.4,22.8,22.7,23.8
18811.0,22.4,22.8,22.7,23.8
18841.0,22.3,22.6,22.6,24.0
18871.0,22.3,22.6,22.6,24.1
18901.0,22.3,22.6,22.6,24.2
18931.0,22.3,22.6,22.6,24.2
18961.0,22.3,22.6,22.6,24.2
18991.0,22.3,22.5,22.6,24.4
19021.0,22.3,22.5,22.6,24.5
19051.0,22.3,22.5,22.6,24.3
19081.0,22.3,22.5,22.6,24.2
19111.0,22.3,22.5,22.6,24.1
19141.0,22.3,22.5,22.6,24.0
19171.0,22.3,22.5,22.6,23.9
19201.0,22.3,22.5,22.6,23.9
19231.0,22.3,22.5,22.6,23.8
19261.0,22.3,22.5,22.6,23.7
19291.0,22.3,22.5,22.6,23.5
19321.0,22.3,22.5,22.6,23.4
19351.0,22.3,22.5,22.6,23.4
19381.0,22.3,22.5,22.6,23.6
19411.0,22.3,22.5,22.6,24.3
19441.0,22.3,22.5,22.6,24.7
19471.0,22.3,22.5,22.6,24.7
19501.0,22.3,22.5,22.6,24.7
19531.0,22.3,22.5,22.6,24.8
19561.0,22.3,22.5,22.6,24.5
19591.0,22.3,22.5,22.6,23.9
19621.0,22.3,22.5,22.6,23.9
19651.0,22.3,22.5,22.6,24.0
19681.0,22.3,22.5,22.6,23.7
19711.0,22.3,22.5,22.6,23.6
19741.0,22.3,22.5,22.6,23.5
